smiles,Vir_shifts,Ctype,score,DBindex
O=C(CCc1ccc(O)c(O)c1)CC(CCc1ccc(O)c(O)c1)OC1OC(CO)C(O)C(O)C1O,"[219.7898    45.667355  29.144293 132.77692  120.027596 116.01668
 145.59435  146.4128   116.7748    49.440025  74.94168   36.079098
  32.103382 134.40756  120.153534 116.00731  145.28535  146.53174
 116.72765  103.825676  77.699455  62.48091   70.61428   76.21758
  73.24974 ]","['s' 't' 't' 's' 'd' 'd' 's' 's' 'd' 't' 'd' 't' 't' 's' 'd' 'd' 's' 's'
 'd' 'd' 'd' 't' 'd' 'd' 'd']",58.955452321347295,25745
C=CCc1ccc(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)c(O)c1,"[117.1884   139.3082    40.393192 134.67216  120.480835 115.93589
 145.59276  103.02174   76.394554  67.0169   107.584145  73.17225
  79.23256   64.534584  76.09051   70.544205  76.04937   72.8986
 147.91843  118.250725]","['t' 'd' 't' 's' 'd' 'd' 's' 'd' 'd' 't' 'd' 't' 's' 't' 'd' 'd' 'd' 'd'
 's' 'd']",58.945089529429,127032
CC(=O)OC(CCCCc1ccc(O)cc1)CCc1ccc(O)c(O)c1,"[ 21.16825  171.76712   72.82378   33.76125   23.341038  28.8917
  34.35113  134.30496  131.21823  116.120224 155.69131  116.06262
 131.17609   35.84457   32.26562  133.54857  121.70626  115.16545
 144.24902  145.58856  116.373566]","['q' 's' 'd' 't' 't' 't' 't' 's' 'd' 'd' 's' 'd' 'd' 't' 't' 's' 'd' 'd'
 's' 's' 'd']",58.93424396199095,33330
COc1c2cc(c(O)c1OC)CCCCC(OC1OCC(O)C(O)C1O)CCc1ccc(O)c-2c1,"[ 60.74198  150.6243   124.24666  125.97544  124.87158  150.28476
 141.67027   60.42045   28.470528  24.325298  22.986813  32.003834
  75.50411  104.237236  65.48669   69.40457   75.50359   73.05748
  34.377934  30.045015 131.69063  133.09785  116.19983  153.9229
 125.85184  130.97307 ]","['q' 's' 's' 'd' 's' 's' 's' 'q' 't' 't' 't' 't' 'd' 'd' 't' 'd' 'd' 'd'
 't' 't' 's' 'd' 'd' 's' 's' 'd']",58.849228854179735,58251
CC(C)(O)C1CC=C(C(=O)OCC2OC(OC3(CO)OC(CO)C(O)C3O)C(O)C(O)C2O)CC1,"[ 27.388327  73.665825  26.828604  45.12192   27.447613 142.24835
 131.05716  168.93411   65.90557   74.78751   96.53207  107.350235
  65.16574   79.803474  62.925835  73.88817   76.95292   73.35312
  75.84134   71.32432   27.306364  24.956938]","['q' 's' 'q' 'd' 't' 'd' 's' 's' 't' 'd' 'd' 's' 't' 'd' 't' 'd' 'd' 'd'
 'd' 'd' 't' 't']",58.57460674060772,96490
C=C1C(OC(=O)C=Cc2ccc(O)c(O)c2)CC(O)C2(C)CC(O)C(C(C)C)CC12,"[110.60591  145.2654    74.51512  167.75237  116.981346 144.81638
 128.2036   121.43435  115.69325  146.46109  146.09267  114.03224
  34.573837  73.483154  40.297276  14.085837  43.16475   68.49088
  48.549526  29.529844  21.02949   20.99695   24.943745  45.661182]","['t' 's' 'd' 's' 'd' 'd' 's' 'd' 'd' 's' 's' 'd' 't' 'd' 's' 'q' 't' 'd'
 'd' 'd' 'q' 'q' 't' 'd']",58.44860864420294,87272
O=C(C=Cc1ccc(O)c(O)c1)OC1C(CO)OC(OCC(=CCO)CO)C(O)C1O,"[167.81203  116.27469  144.69615  126.99815  122.01937  116.00628
 147.35866  147.1163   114.33483   70.91284   75.39084   62.219395
 102.580376  67.311905 141.8038   132.2659    60.004856  61.082973
  72.74307   73.979866]","['s' 'd' 'd' 's' 'd' 'd' 's' 's' 'd' 'd' 'd' 't' 'd' 't' 's' 'd' 't' 't'
 'd' 'd']",58.40932686768728,157165
CC(=O)OC(CCC=Cc1ccc(O)cc1)CCc1ccc(O)c(O)c1,"[ 21.207754 172.26468   72.52598   34.355576  27.005468 129.81316
 131.75276  128.93674  129.46422  116.32186  157.45818  116.2998
 129.51027   36.027042  31.808577 134.15997  121.73699  115.465164
 144.70354  145.53844  116.274864]","['q' 's' 'd' 't' 't' 'd' 'd' 's' 'd' 'd' 's' 'd' 'd' 't' 't' 's' 'd' 'd'
 's' 's' 'd']",58.3711348632137,103536
O=C(CCc1ccc(O)cc1)CC(O)CCc1ccc(O)c(O)c1,"[217.01784   45.51801   28.05913  131.88504  130.91692  115.82012
 156.57042  115.8557   131.13564   51.137016  64.81212   37.971607
  31.388683 133.33334  120.5053   115.56614  144.99052  146.06522
 116.41873 ]","['s' 't' 't' 's' 'd' 'd' 's' 'd' 'd' 't' 'd' 't' 't' 's' 'd' 'd' 's' 's'
 'd']",58.20294768969961,10630
C=C1CCC=C(C)CC(OC(=O)C=Cc2ccc(O)cc2)CC(C)(C)CC1OO,"[120.57115  149.10606   33.491997  25.456232 130.42583  141.58978
  22.80094   39.493572  74.20761  168.25969  117.74195  144.49455
 127.874275 131.36781  116.08003  158.23529  115.96781  131.35526
  39.853527  31.887793  27.735792  28.0545    39.70801   84.27641 ]","['t' 's' 't' 't' 'd' 's' 'q' 't' 'd' 's' 'd' 'd' 's' 'd' 'd' 's' 'd' 'd'
 't' 's' 'q' 'q' 't' 'd']",58.15471047609276,45764
O=C1C=C2CCC(OC3OC(COC(=O)c4cc(O)c(O)c(O)c4)C(O)C(O)C3O)CC2O1,"[175.67262  114.30627  170.40921   24.203596  30.000551  71.688576
 104.1884    76.09497   64.553154 167.49323  121.30256  109.35288
 145.99814  140.1232   145.88164  109.50217   71.0956    76.32816
  72.75146   35.26388   79.598434]","['s' 'd' 's' 't' 't' 'd' 'd' 'd' 't' 's' 's' 'd' 's' 's' 's' 'd' 'd' 'd'
 'd' 't' 'd']",58.13462364775813,33459
